id,statement_id,page_number,item_name,item_code,channel,units,unit_rate,gross_amount,royalty_rate,royalty_amount
9bbde230-e598-4ecf-8cb8-8942fcf506fe,d8f8cac7-b177-4bd6-be7f-435670360f38,1,Yours Alone,39032-1813-A,FL - Foreign Digital/Physical,747,2.69,2.69,-0.04,-0.11
9a27683d-0529-4ae2-8db0-e19a1802e368,d8f8cac7-b177-4bd6-be7f-435670360f38,1,Yours Alone,39032-1813-A,FL - Foreign Digital/Physical,1331,2.6,2.6,-0.5,-1.3
2e7fbc54-eef7-4e9b-97d7-7ec05f60981e,d8f8cac7-b177-4bd6-be7f-435670360f38,2,Here With Me (Acoustic),40476-710-A,MU - Master Use Revenue,1,0.02,0.02,0.5,0.01
28d70963-f017-4f70-97af-39525022fd8b,d8f8cac7-b177-4bd6-be7f-435670360f38,2,Here With Me (Acoustic),40476-710-A,MU - Master Use Revenue,1,0.02,0.02,0.1,0
9289ac9a-85a3-44ec-b423-d3206d71de79,d8f8cac7-b177-4bd6-be7f-435670360f38,2,Children of God (Acoustic),40476-711-A,MU - Master Use Revenue,1,0.02,0.02,0.5,0.01
9acf2d5b-f228-4f03-86e8-f92a7b62cce3,d8f8cac7-b177-4bd6-be7f-435670360f38,2,Children of God (Acoustic),40476-711-A,MU - Master Use Revenue,2,0.04,0.04,0.2,0
ab36b594-8d46-4103-9b51-126eab3f2b78,d8f8cac7-b177-4bd6-be7f-435670360f38,2,Children of God (Acoustic),40476-711-A,MU - Master Use Revenue,2,0.04,0.04,0.1,0
c7c0918d-3eda-477c-91b6-ab01a1f7b356,d8f8cac7-b177-4bd6-be7f-435670360f38,2,Doxology/Amen (Acoustic),40476-712-A,MU - Master Use Revenue,31,1.51,1.51,0.4,0.6
e9bf0074-1361-4da4-9792-73526bee5c94,d8f8cac7-b177-4bd6-be7f-435670360f38,2,Doxology/Amen (Acoustic),40476-712-A,MU - Master Use Revenue,31,1.51,1.51,0.1,0.15
44a47c03-9a66-4bcf-9a4a-287461026ee6,d8f8cac7-b177-4bd6-be7f-435670360f38,2,Doxology/Amen (Acoustic),40476-712-A,MU - Master Use Revenue,1,0.64,0.64,0.1,0.06
e4d2fb18-4d65-4de2-9805-48d1f4447dbf,d8f8cac7-b177-4bd6-be7f-435670360f38,2,Stand In Awe (Acoustic),40476-715-A,MU - Master Use Revenue,1,0.02,0.02,0.4,0
5c3b2114-7b6d-434e-b9fd-20db2e2148cc,d8f8cac7-b177-4bd6-be7f-435670360f38,2,Stand In Awe (Acoustic),40476-715-A,MU - Master Use Revenue,1,0.02,0.02,0.4,0
bdab9df8-7ef8-4bc3-8049-db7ab01c6b85,d8f8cac7-b177-4bd6-be7f-435670360f38,2,Cannons,42552,CT - CBA Trade,1,1.85,1.85,0.4,0.74
c3040fd2-6f4a-4e0a-8a15-d1657fdea705,d8f8cac7-b177-4bd6-be7f-435670360f38,2,Cannons,42552,CT - CBA Trade,1,1.85,1.85,0.45,0.83
c3940b8d-22f6-4980-a872-412630ed6b70,d8f8cac7-b177-4bd6-be7f-435670360f38,2,Cannons,42552,CT - CBA Trade,1,1.85,1.85,0.1,0.18
abd8612e-086a-4c20-b1b4-a84556c76364,d8f8cac7-b177-4bd6-be7f-435670360f38,2,A Must I Wait,42552-12980-A,MU - Master Use Revenue,1,0.02,0.02,0.1,0
9f2d4ceb-2eb2-4ddb-b631-e41de281b415,d8f8cac7-b177-4bd6-be7f-435670360f38,2,A Must I Wait,42552-12980-A,MU - Master Use Revenue,1,0.02,0.02,0.5,0.01
db1c765a-a9d0-4688-bccd-c570dd932ed1,d8f8cac7-b177-4bd6-be7f-435670360f38,2,Cannons,42552-12983-A,MU - Master Use Revenue,92,72.79,72.79,0.4,29.12
706e2e10-0f96-4116-9ccd-beefa6b85b45,d8f8cac7-b177-4bd6-be7f-435670360f38,2,Cannons,42552-12983-A,MU - Master Use Revenue,92,72.79,72.79,0,0
f652a398-4590-4b11-9352-395ec3cabb5c,d8f8cac7-b177-4bd6-be7f-435670360f38,2,Shining,42552-12984-A,MU - Master Use Revenue,22,2.79,2.79,0.5,1.4
11d5bd32-b18a-4888-add1-38ccd152fabd,d8f8cac7-b177-4bd6-be7f-435670360f38,2,Shining,42552-12986-A,MU - Master Use Revenue,22,2.79,2.79,0.4,1
