id,statement_id,page_number,schema_type,identifier,description,channel,units,unit_price,gross_amount,rate_percent,royalty_amount,region_confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2
6b16338b-e801-43ae-bbc9-c47ad640d533,f71a1aa5-29c1-4e50-8e18-c82824974559,1,product,30976-305-A,The Secret Place,MU - Master Use Revenue,1,0.02,0.02,-1.00,0.0,0.6858355402946472,113.0,17.0,2442.0,3097.0
b76b9150-0e4f-4466-8c42-fb56e6ea809d,f71a1aa5-29c1-4e50-8e18-c82824974559,1,product,30976-306-A,Better Than Life,MU - Master Use Revenue,3,0.06,0.06,-0.400,-0.02,0.6858355402946472,113.0,17.0,2442.0,3097.0
38441e50-b9bd-4f87-b72b-a109db75ce92,f71a1aa5-29c1-4e50-8e18-c82824974559,1,product,30976-306-A,Better Than Life,MU - Master Use Revenue,3,0.06,0.06,-0.500,-0.03,0.6858355402946472,113.0,17.0,2442.0,3097.0
f0ec52e0-872a-4a27-8963-029dd21564ce,f71a1aa5-29c1-4e50-8e18-c82824974559,1,product,30976-307-A,Starmaker (Above The Earth),MU - Master Use Revenue,3,0.06,0.06,-0.400,-0.02,0.6858355402946472,113.0,17.0,2442.0,3097.0
7dfb4b6b-654e-4933-8744-8dfa33cdca75,f71a1aa5-29c1-4e50-8e18-c82824974559,1,product,30976-307-A,Starmaker (Above The Earth),MU - Master Use Revenue,3,0.06,0.06,-0.500,-0.03,0.6858355402946472,113.0,17.0,2442.0,3097.0
266873b6-2ab3-4f8d-aa11-e851e7c7fb83,f71a1aa5-29c1-4e50-8e18-c82824974559,1,product,30976-311-A,As It Is In Heaven,MU - Master Use Revenue,2,0.04,0.04,-0.400,0.0,0.6858355402946472,113.0,17.0,2442.0,3097.0
660f5228-cbcf-4347-96f0-fb2f0170d1a8,f71a1aa5-29c1-4e50-8e18-c82824974559,1,product,30976-311-A,As It Is In Heaven,MU - Master Use Revenue,2,0.04,0.04,-0.500,0.0,0.6858355402946472,113.0,17.0,2442.0,3097.0
7e94f2f7-3efd-46d0-ad32-705fb8db1b6c,f71a1aa5-29c1-4e50-8e18-c82824974559,1,product,39032-1811-A,Yours Alone,FL - Foreign Digital/Physical,747,2.69,2.69,-0.0400,-0.11,0.6858355402946472,113.0,17.0,2442.0,3097.0
4ba85a01-8e10-4003-af6b-f9ac39e1b888,f71a1aa5-29c1-4e50-8e18-c82824974559,2,product,40476-710-A,Here With Me (Acoustic),MU - Master Use Revenue,1,0.02,0.02,0.500,0.01,0.7620648741722107,114.0,150.0,2442.0,3095.0
98a6e6b1-a3da-4e9c-8606-943e5522bd32,f71a1aa5-29c1-4e50-8e18-c82824974559,2,product,40476-710-A,Here With Me (Acoustic),MU - Master Use Revenue,1,0.02,0.02,0.500,0.01,0.7620648741722107,114.0,150.0,2442.0,3095.0
b23234d9-cccc-4da0-a481-aebeed704521,f71a1aa5-29c1-4e50-8e18-c82824974559,2,product,40476-711-A,Children of God (Acoustic),MU - Master Use Revenue,1,0.02,0.02,0.400,0.01,0.7620648741722107,114.0,150.0,2442.0,3095.0
6eaec0e6-5244-4c8e-b44a-fa275feacc7a,f71a1aa5-29c1-4e50-8e18-c82824974559,2,product,40476-711-A,Children of God (Acoustic),MU - Master Use Revenue,2,0.04,0.04,0.400,0.02,0.7620648741722107,114.0,150.0,2442.0,3095.0
a1a9b000-fbc4-4d93-bd11-6c53fad02f94,f71a1aa5-29c1-4e50-8e18-c82824974559,2,product,40476-711-A,Children of God (Acoustic),MU - Master Use Revenue,2,0.04,0.04,0.400,0.02,0.7620648741722107,114.0,150.0,2442.0,3095.0
fe23c3f7-9eb2-45c2-b530-21338b4e465f,f71a1aa5-29c1-4e50-8e18-c82824974559,2,product,40476-712-A,Doxology/Amen (Acoustic),MU - Master Use Revenue,31,0.54,0.54,0.400,0.22,0.7620648741722107,114.0,150.0,2442.0,3095.0
8531ee0b-36e7-4e7b-9f86-caf1d5085853,f71a1aa5-29c1-4e50-8e18-c82824974559,2,product,40476-712-A,Doxology/Amen (Acoustic),MU - Master Use Revenue,31,0.54,0.54,0.400,0.22,0.7620648741722107,114.0,150.0,2442.0,3095.0
a786d55f-36fb-48cd-ba86-d34a262b4d6c,f71a1aa5-29c1-4e50-8e18-c82824974559,2,product,40476-712-A,Doxology/Amen (Acoustic),MU - Master Use Revenue,1,0.02,0.02,0.400,0.01,0.7620648741722107,114.0,150.0,2442.0,3095.0
b65a1602-817d-452b-aa42-6db950cc730d,f71a1aa5-29c1-4e50-8e18-c82824974559,2,product,40476-715-A,Stand In Awe (Acoustic),MU - Master Use Revenue,1,0.02,0.02,0.400,0.01,0.7620648741722107,114.0,150.0,2442.0,3095.0
d623773e-2801-4c94-bbbb-4897077b4ab8,f71a1aa5-29c1-4e50-8e18-c82824974559,2,product,40476-715-A,Stand In Awe (Acoustic),MU - Master Use Revenue,2,0.04,0.04,0.400,0.02,0.7620648741722107,114.0,150.0,2442.0,3095.0
0c170409-df06-4231-b1b1-e8a28884d324,f71a1aa5-29c1-4e50-8e18-c82824974559,2,product,40476-715-A,Stand In Awe (Acoustic),MU - Master Use Revenue,1,0.02,0.02,0.400,0.01,0.7620648741722107,114.0,150.0,2442.0,3095.0
0d7fb05b-37b5-4ff1-bb13-4e187fec652b,f71a1aa5-29c1-4e50-8e18-c82824974559,2,product,42552,Cannons,CT - CBA Trade,1,1.85,1.85,0.100,0.19,0.7620648741722107,114.0,150.0,2442.0,3095.0
1b244004-df57-4105-bfc3-5fcd6ea47fcd,f71a1aa5-29c1-4e50-8e18-c82824974559,2,product,42552,Cannons,CT - CBA Trade,1,1.85,1.85,0.100,0.19,0.7620648741722107,114.0,150.0,2442.0,3095.0
294280c3-6572-4256-afcc-37230ba57ea6,f71a1aa5-29c1-4e50-8e18-c82824974559,2,product,42552,Cannons,CT - CBA Trade,1,1.85,1.85,0.100,0.19,0.7620648741722107,114.0,150.0,2442.0,3095.0
5ebf7925-fe45-4052-bd91-3b082acd93ed,f71a1aa5-29c1-4e50-8e18-c82824974559,2,product,42552,Must I Wait,MU - Master Use Revenue,1,0.02,0.02,1.00,0.02,0.7620648741722107,114.0,150.0,2442.0,3095.0
5cb5172a-8777-4480-a250-105a58ba9c3f,f71a1aa5-29c1-4e50-8e18-c82824974559,2,product,42552,Must I Wait,MU - Master Use Revenue,1,0.02,0.02,0.400,0.01,0.7620648741722107,114.0,150.0,2442.0,3095.0
921bdc55-bb82-4e09-bac1-137e86e72c30,f71a1aa5-29c1-4e50-8e18-c82824974559,2,product,42552,Must I Wait,MU - Master Use Revenue,1,0.02,0.02,0.400,0.01,0.7620648741722107,114.0,150.0,2442.0,3095.0
4d9394f8-b381-460b-9def-ae508440cc81,f71a1aa5-29c1-4e50-8e18-c82824974559,2,product,42552,Must I Wait,MU - Master Use Revenue,1,0.02,0.02,0.400,0.01,0.7620648741722107,114.0,150.0,2442.0,3095.0
fb4513ea-7283-42bc-8f6b-15ff72d9a3a9,f71a1aa5-29c1-4e50-8e18-c82824974559,2,product,42552,Must I Wait,MU - Master Use Revenue,1,0.02,0.02,0.400,0.01,0.7620648741722107,114.0,150.0,2442.0,3095.0
