id,pdf_name,vendor_name,contract_name,vendor_number,contract_number,period_start,period_end,total_pages,processed_at
ae3377f3-6644-4591-a74a-0d48814f1e70,2023 12 - Statement_33877_023_40469_566473_20231231,RYAN RABIN,N/A,N/A,N/A,N/A,N/A,3,2026-02-27T01:00:11.319912
d8f8cac7-b177-4bd6-be7f-435670360f38,Phil Wickham - MODERN HYMNS - 1014 - Oct 2025,Phil Wickham,MODERN HYMNS,N/A,N/A,N/A,N/A,2,2026-02-27T01:20:36.308642
